A,111,189,66,66
B,315,89,86,122
Plus,67,313,34,34
Minus,187,313,34,34
Home,127,313,34,34
One,118,484,52,52
Two,118,550,52,52
Up,128,42,30,45
Down,128,117,30,45
Left,83,87,45,30
Right,158,87,45,30
N_Z,806,237,108,82
N_C,829,169,62,62
_N_STICK,475,108,278,278
